Sum of students_enrolled_courser,Column Labels,,,,
Row Labels,Advanced,Beginner,Intermediate,Mixed,Grand Total
Teaching Character and Creating Positive Classrooms,,,,53000,53000
Introduction to Calculus,,,53000,,53000
Public Policy Challenges of the 21st Century,,52000,,,52000
Mastering Software Development in R,,52000,,,52000
Learn English: Advanced Grammar and Punctuation,52000,,,,52000
From the Big Bang to Dark Energy,,52000,,,52000
Программирование на Python,,,52000,,52000
Mathematics for Machine Learning: Multivariate Calculus,,51000,,,51000
Indigenous Canada,,,,51000,51000
Classical Sociological Theory,,,,51000,51000
Claves de la Dirección de Empresas,,51000,,,51000
Positive Psychology: Martin E. P. Seligman’s Visionary Science,,50000,,,50000
Supporting children with difficulties in reading and writing,,,,50000,50000
The Science of Gastronomy,,,,50000,50000
Understanding Plants - Part I: What a Plant Knows,,49000,,,49000
Marketing Gerencial,,,49000,,49000
Teamwork Skills: Communicating Effectively in Groups,,49000,,,49000
Fundamentals of Engineering Exam Review,,,,49000,49000
Investment and Portfolio Management,,49000,,,49000
Introduction to Scripting in Python,,49000,,,49000
Control of Mobile Robots,,,,49000,49000
Systems Biology and Biotechnology,,,48000,,48000
Materials Science: 10 Things Every Engineer Should Know,,,,48000,48000
Business Writing,,48000,,,48000
"The Modern World, Part Two: Global History since 1910",,47000,,,47000
Managing Your Health: The Role of Physical Therapy and Exercise,,47000,,,47000
"Presentation Skills: Speechwriting, Slides and Delivery",,47000,,,47000
The Manager's Toolkit: A Practical Guide to Managing People at Work,,,,47000,47000
Search Engine Optimization Fundamentals,,,,47000,47000
The Art of Music Production,,,47000,,47000
Gestión de organizaciones efectivas,,,,47000,47000
Introduction to Forensic Science,,,,47000,47000
Fundamentos de la escritura,,47000,,,47000
Introduction to Chemistry:  Reactions and Ratios,,46000,,,46000
"High Performance Collaboration: Leadership, Teamwork, and Negotiation",,,,46000,46000
Introduction aux Droits de l’Homme,,,,46000,46000
Convolutional Neural Networks in TensorFlow,,,46000,,46000
Egiptología (Egyptology),,46000,,,46000
"Transmedia Storytelling: Narrative worlds, emerging technologies, and global audiences",,,,45000,45000
Survey Data Collection and Analytics,,45000,,,45000
Front-End Web Development with React,,,45000,,45000
Epidemics - the Dynamics of Infectious Diseases,,,,45000,45000
Погружение в Python,,,45000,,45000
UCI Project Management,,44000,,,44000
Mountains 101,,,,44000,44000
"Globalization, Economic Growth and Stability",,,44000,,44000
Introduction to Artificial Intelligence (AI),,44000,,,44000
Democracia y decisiones públicas. Introducción al análisis de políticas públicas,,44000,,,44000
User Interface Design,,,43000,,43000
Habilidades Gerenciales,,43000,,,43000
Making Architecture,,43000,,,43000
Learn Chinese: HSK Test Preparation,,43000,,,43000
Communication Strategies for a Virtual Age,,43000,,,43000
Construction Project Management,,43000,,,43000
Costos para los Negocios,,,43000,,43000
"Competencias digitales. Herramientas de ofimática (Microsoft Word, Excel, Power Point)",,43000,,,43000
Particle Physics: an Introduction,,,,42000,42000
Music Business,,42000,,,42000
Social and Economic Networks:  Models and Analysis,42000,,,,42000
Introduction to Genomic Technologies,,,,42000,42000
Forensic Accounting and Fraud Examination,,,,42000,42000
Applied Data Science Capstone,,,42000,,42000
English for Research Publication Purposes,,,42000,,42000
Data Management for Clinical Research,,42000,,,42000
Python and Statistics for Financial Analysis,,,41000,,41000
Neurolinguistics,,,,41000,41000
International Leadership and Organizational Behavior,,,,41000,41000
Introduction to Embedded Systems Software and Development Environments,,,41000,,41000
Основы разработки на C++: белый пояс,,,41000,,41000
More Introduction to Financial Accounting,,,,40000,40000
Version Control with Git,,,,40000,40000
Positive Psychology: Resilience Skills,,40000,,,40000
Natural Language Processing in TensorFlow,,,40000,,40000
Innovation Management,,40000,,,40000
Agile with Atlassian Jira,,40000,,,40000
Discrete Optimization,,,40000,,40000
Process Mining: Data science in Action,,,39000,,39000
Self-Driving Cars,39000,,,,39000
Practical Time Series Analysis,,,39000,,39000
Fundamentals of Accounting,,39000,,,39000
Learn Mandarin Chinese,,39000,,,39000
Excel Skills for Business: Intermediate II,,,39000,,39000
Excel Skills for Business: Advanced,,,39000,,39000
Healing with the Arts,,,,39000,39000
Introduction to Self-Driving Cars,39000,,,,39000
Drug Discovery,,39000,,,39000
ADHD: Everyday Strategies for Elementary Students,,39000,,,39000
Success,,38000,,,38000
Internet Giants: The Law and Economics of Media Platforms,,,,38000,38000
Entrepreneurship 2: Launching your Start-Up,,,,38000,38000
Business English,,,38000,,38000
Финансовые инструменты для частного инвестора,,38000,,,38000
Virtual Reality,,37000,,,37000
Kotlin for Java Developers,,,37000,,37000
Global Financial Markets and Instruments,,,,37000,37000
Digital Manufacturing & Design Technology,,37000,,,37000
Coaching Skills for Managers,,,37000,,37000
Cloud Computing Basics (Cloud 101),,37000,,,37000
"Energy Production, Distribution & Safety",,37000,,,37000
Modeling Risk and Realities,,,,36000,36000
Rethinking International Tax Law,,,,36000,36000
Probability and Statistics: To p or not to p?,,36000,,,36000
Healthcare Marketplace,,36000,,,36000
Finding Purpose and Meaning In Life: Living for What Matters Most,,36000,,,36000
Internet Connection: How to Get Online?,,36000,,,36000
International Law in Action: A Guide to the International Courts and Tribunals in The Hague,,,,36000,36000
Google Cloud Platform Fundamentals for AWS Professionals,,,36000,,36000
"Anatomy of the Chest, Abdomen, and Pelvis",,,36000,,36000
C# Programming for Unity Game Development,,36000,,,36000
"Recruiting, Hiring, and Onboarding Employees",,,,35000,35000
What future for education?,,,,35000,35000
Nutrition and Lifestyle in Pregnancy,,,35000,,35000
International Women's Health and Human Rights,,35000,,,35000
IT Fundamentals for Cybersecurity,,35000,,,35000
Epigenetic Control of Gene Expression,,,,35000,35000
Dino 101: Dinosaur Paleobiology,,35000,,,35000
Advanced Machine Learning with TensorFlow on Google Cloud Platform,35000,,,,35000
Biohacking Your Brain's Health,,35000,,,35000
Software Development Lifecycle,,,34000,,34000
Music Business Foundations,,,,34000,34000
Microeconomics: The Power of Markets,,,,34000,34000
Weight Management: Beyond Balancing Calories,,34000,,,34000
Politics and Economics of International Energy,,34000,,,34000
Statistics with Python,,34000,,,34000
Industrial IoT on Google Cloud Platform,,34000,,,34000
How to Start Your Own Business,,34000,,,34000
Leadership in 21st Century Organizations,,,,34000,34000
Geopolítica y gobernanza global: riesgos y oportunidades,,,,34000,34000
Introduction to Environmental Law and Policy,,,,34000,34000
Réussir le Changement,,,,33000,33000
Systems Thinking In Public Health,,,,33000,33000
Mathematics for Machine Learning: PCA,,,33000,,33000
The Truth About Cats and Dogs,,,,33000,33000
Object-Oriented Design,,,33000,,33000
Introduction to Systems Engineering,,,,33000,33000
Atención Primaria en Salud: El desafío de las Enfermedades no Transmisibles,,,33000,,33000
Computational Thinking for Problem Solving,,33000,,,33000
Wine Tasting: Sensory Techniques for Wine Analysis,,32000,,,32000
Information Security: Context and Introduction,,32000,,,32000
Introduction to Computer Science and Programming,,32000,,,32000
Introduction to Cyber Security,,32000,,,32000
Clinical Terminology for International and U.S. Students,,32000,,,32000
COVID-19: What You Need to Know (CME Eligible),,32000,,,32000
Essentials of Global Health,,,,31000,31000
Foundations of Global Health,,31000,,,31000
Challenging Forensic Science: How Science Should Speak to Court,,31000,,,31000
Epidemiology in Public Health Practice,,31000,,,31000
Entrepreneurship 3: Growth Strategies,,31000,,,31000
Art & Ideas: Teaching with Themes,,,,31000,31000
C for Everyone: Programming Fundamentals,,31000,,,31000
Blockchain: Foundations and Use Cases,,31000,,,31000
Decision-Making and Scenarios,,,,31000,31000
Strategising: Management for Global Competitive Advantage,,,30000,,30000
Understanding and Visualizing Data with Python,,30000,,,30000
"Parallel, Concurrent, and Distributed Programming in Java",,,30000,,30000
Roman Architecture,,30000,,,30000
Introduction to Cybersecurity Tools & Cyber Attacks,,30000,,,30000
Finanzas corporativas,,,30000,,30000
Fundamental Neuroscience for Neuroimaging,,30000,,,30000
Child Nutrition and Cooking,,30000,,,30000
Разработка интерфейсов: вёрстка и JavaScript,,,30000,,30000
Anatomy,,30000,,,30000
The Horse Course: Introduction to Basic Care and Management,,,,29000,29000
Understanding Cancer Metastasis,,29000,,,29000
Recommender Systems,,,29000,,29000
Supply Chain Principles,,,,29000,29000
Linear Circuits 1: DC Analysis,,,,29000,29000
Machine Learning and Reinforcement Learning in Finance,,,29000,,29000
Global Diplomacy: the United Nations in the World,,29000,,,29000
"Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital",29000,,,,29000
Bayesian Statistics: Techniques and Models,,,29000,,29000
Stories of Infection,,,28000,,28000
The Technology of Music Production,,28000,,,28000
"Hotel Management: Distribution, Revenue and Demand Management",,28000,,,28000
Explorando la Energía Sustentable,,28000,,,28000
Become a Journalist: Report the News!,,28000,,,28000
Managing Social and Human Capital,,27000,,,27000
Introduction to Cyber Attacks,,27000,,,27000
Foundations of Marketing Analytics,,,27000,,27000
Estadística y probabilidad,,27000,,,27000
Introduction to Breast Cancer,,,,27000,27000
Content Strategy for Professionals,,27000,,,27000
AWS Fundamentals: Building Serverless Applications,,27000,,,27000
Computer Security and Systems Management,,27000,,,27000
"Python Functions, Files, and Dictionaries",,26000,,,26000
"The Sustainable Development Goals – A global, transdisciplinary vision for the future",,26000,,,26000
From Data to Insights with Google Cloud Platform,,26000,,,26000
International Marketing & Cross Industry Growth,,26000,,,26000
Branding: The Creative Journey,,26000,,,26000
Continuous Delivery & DevOps,,26000,,,26000
Cuidado de heridas en el ámbito hospitalario,,,26000,,26000
UX Design Fundamentals,,25000,,,25000
Introduction to Dental Medicine,,25000,,,25000
